country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Equatorial Guinea,0.13,0.17,0.32,0.52,0.84,1.15,1.28,1.56,1.82,2.13,6,11.5,13.94,16.4,18.86,21.32,23.78,26.24
Eritrea,0.14,0.16,0.23,,,,,0.41,0.47,0.54,0.61,0.7,0.8,0.9,0.99,1.08,1.18,1.31
Estonia,28.58,31.53,41.52,45.32,53.2,61.45,63.51,66.19,70.58,72.5,74.1,76.5,78.39,80,84.24,87.24,87.24,88.1
Eswatini,0.93,1.28,1.82,2.44,3.23,3.7,3.7,4.1,6.85,8.94,11.04,18.13,20.78,24.7,26.18,25.64,28.57,30.3
Ethiopia,0.02,0.04,0.07,0.11,0.16,0.22,0.31,0.37,0.45,0.54,0.75,1.1,2.9,4.6,7.7,13.86,15.37,18.62
Falkland (Malvinas) Is.,58.62,64.6,64.15,64.02,67.32,84.01,87.1,90.06,92.96,95.84,95.84,96.38,96.92,96.9,97.6,98.31,99.02,
Faroe Islands,32.92,43.25,53.3,58.91,66.53,67.9,69.36,75.98,75.57,75.18,75.2,80.73,85.34,90,93.3,94.2,95.11,97.58
Fiji,1.5,1.86,6.15,6.73,7.41,8.45,9.6,10.9,13,17,20,28,33.74,35.2,37.4,42.5,46.51,49.97
Finland,37.25,43.11,62.43,69.22,72.39,74.48,79.66,80.78,83.67,82.49,86.89,88.71,89.88,91.51,86.53,86.42,87.7,87.47
France,14.31,26.33,30.18,36.14,39.15,42.87,46.87,66.09,70.68,71.58,77.28,77.82,81.44,81.92,83.75,78.01,79.27,80.5
French Polynesia,6.36,6.25,8.2,14.12,17.88,21.54,25.11,28.59,33.87,44.6,49,49,52.88,56.8,60.68,64.56,68.44,72.7
Gabon,1.22,1.35,1.94,2.66,2.98,4.89,5.49,5.77,7.5,9.5,13,18,24,30.54,38.07,45.78,48.05,50.32
Gambia,0.92,1.34,1.8,2.44,3.31,3.8,5.24,6.21,6.88,7.63,9.2,10.87,12.45,14,15.56,16.5,18.5,19.84
Georgia,0.48,0.99,1.59,2.56,3.89,6.08,7.53,8.26,10.01,20.07,26.9,31.52,36.94,43.3,44,47.57,59.26,60.49
Germany,30.22,31.65,48.82,55.9,64.73,68.71,72.16,75.16,78,79,82,81.27,82.35,84.17,86.19,84.4,84.4,84.4
Ghana,0.15,0.2,0.83,1.19,1.72,1.83,2.72,3.85,4.27,5.44,7.8,9,10.6,15,25.52,31.45,34.67,37.88
Gibraltar,19.13,21.17,23.67,28.33,32.89,39.07,45.3,51.61,58,65.07,65,65,65.02,,,,94.44,
Greece,9.14,10.94,14.67,17.8,21.42,24,32.25,35.88,38.2,42.4,44.4,51.65,55.07,59.87,63.21,66.84,69.09,69.89
Greenland,31.75,35.46,44.15,54.53,56.1,57.7,59.36,61.07,62.82,62.83,63,64,64.9,65.8,66.7,67.6,68.5,69.48
Grenada,4.06,5.13,14.76,18.65,19.57,20.49,21.4,22.29,23.18,24.05,27,30,32,35,51.6,53.81,55.86,59.07
Guam,16.11,25.38,31.19,33.72,36.16,38.56,43.85,46.15,48.42,50.64,54.04,57.7,61.53,65.4,69.27,73.14,77.01,80.51
Guatemala,0.71,1.74,3.39,4.55,5.1,5.7,6.5,7.3,8.3,9.3,10.5,12.3,16,19.7,23.4,28.81,34.51,40.7
Guernsey,31.9,44.47,53.57,59.14,64.52,73.57,83.63,,,,,83.63,,,,,,
Guinea,0.1,0.18,0.4,0.45,0.51,0.54,0.64,0.78,0.92,0.94,1,2,3.1,4.5,6.4,8.2,9.8,11.4
Guinea-Bissau,0.23,0.3,1.02,1.35,1.81,1.9,2.06,2.21,2.35,2.3,2.45,2.67,2.89,3.1,3.32,3.54,3.76,3.93
Guyana,6.61,13.21,,,,,,13.8,18.2,23.9,29.9,30,30.5,31,32,34,35.66,37.33
Haiti,0.23,0.34,0.89,1.65,5.4,6.38,6.8,7.2,7.6,8.1,8.37,9,9.8,10.6,11.4,12.2,12.23,12.33
Honduras,1.2,1.42,2.6,4.8,5.6,6.5,7.8,9.4,9.6,9.8,11.09,15.9,18.12,17.8,19.08,27.62,30,32.14
"Hong Kong, China",27.83,38.67,43.08,52.2,56.4,56.9,60.8,64.8,66.7,69.4,72,72.2,72.9,74.2,79.87,84.95,87.48,89.42
Hungary,7,14.53,16.67,21.63,27.74,38.97,47.06,53.3,61,62,65,68.02,70.58,72.64,75.65,72.83,79.26,76.75
Iceland,44.47,49.39,79.12,83.14,83.88,87,89.51,90.6,91,93,93.39,94.82,96.21,96.55,98.16,98.2,98.24,98.26
India,0.53,0.66,1.54,1.69,1.98,2.39,2.81,3.95,4.38,5.12,7.5,10.07,12.58,15.1,21,26,29.55,34.45
Indonesia,0.93,2.02,2.13,2.39,2.6,3.6,4.76,5.79,7.92,6.92,10.92,12.28,14.52,14.94,17.14,21.98,25.45,32.29
Iran (Islamic Republic of),0.93,1.48,4.63,6.93,7.49,8.1,8.76,9.47,12.02,13.8,15.9,19,22.73,29.95,39.35,45.33,53.23,60.42
Iraq,,0.1,0.5,0.6,0.9,0.9,0.95,0.93,1,1.06,2.5,5,7.1,9.2,13.21,17.22,21.23,49.36
Ireland,17.85,23.14,25.85,34.31,36.99,41.61,54.82,61.16,65.34,67.38,69.85,74.89,76.92,78.25,83.49,83.49,84.52,84.52
Israel,20.87,17.38,17.76,19.59,22.77,25.19,27.88,48.13,59.39,63.12,67.5,68.87,70.8,70.25,75.02,77.35,79.65,81.58
Italy,23.11,27.22,28.04,29.04,33.24,35,37.99,40.79,44.53,48.83,53.68,54.39,55.83,58.46,55.64,58.14,61.3,61.3
Jamaica,3.12,3.86,6.1,7.8,10,12.8,16.4,21.1,23.6,24.3,27.67,37.44,33.79,37.1,40.4,42.22,44.37,48.78
Japan,29.99,38.53,46.59,48.44,62.39,66.92,68.69,74.3,75.4,78,78.21,79.05,79.5,88.22,89.11,91.06,93.18,90.87
Jersey,9.22,16.06,19.41,22.73,30.68,31.25,31.82,32.39,,,,36,41.03,,,,,
Jordan,2.62,4.71,6.03,8.47,11.66,12.93,13.87,20,23,26,27.2,34.9,37,41.4,46.2,60.11,62.3,66.79
Kazakhstan,0.67,1.01,1.67,2,2.65,2.96,3.27,4.02,11,18.2,31.6,50.6,61.91,63.3,66,70.83,74.59,76.43
Kenya,0.32,0.62,1.21,2.94,3.02,3.1,3.6,4.4,5.2,6.1,7.2,8.8,10.5,13,16.5,16.6,16.6,17.83
Kiribati,1.79,2.34,2.5,3,3.5,4,4.5,6,7,8.97,9.07,10,10.75,11.5,12.25,13,13.7,14.58
Korea (Rep. of),44.7,56.6,59.4,65.5,72.7,73.5,78.1,78.8,81,81.6,83.7,83.76,84.07,84.77,87.56,89.9,92.84,95.1
Kuwait,6.73,8.55,10.25,22.4,22.93,25.93,28.79,34.8,42,50.8,61.4,65.77,70.45,75.46,78.7,77.52,78.37,98
Kyrgyzstan,1.04,3,3,3.91,5.09,10.53,12.31,14.03,15.7,16,16.3,17.5,19.8,23,28.3,30.25,34.5,38.2
Lao P.D.R.,0.11,0.18,0.27,0.33,0.36,0.85,1.17,1.64,3.55,6,7,9,10.75,12.5,14.26,18.2,21.87,25.51
Latvia,6.32,7.22,21.94,26.98,38.58,46,53.63,59.17,63.41,66.84,68.42,69.75,73.12,75.23,75.83,79.2,79.84,81.32
Lebanon,7.95,6.78,7,8,9,10.14,15,18.74,22.53,30.14,43.68,52,61.25,70.5,73,74,76.11,78.18
Lesotho,0.21,0.26,1.08,1.53,2.18,2.58,2.98,3.45,3.58,3.72,3.86,7,10,15,22,25,27.36,29.79
Liberia,0.02,0.03,0.03,0.03,0.03,,,0.55,0.53,2,2.3,2.5,2.6,3.2,5.41,5.9,7.32,7.98
